,row_number,Year,Region,Country,Christians,Muslims,Unaffiliated,Hindus,Buddhists,Folk Religions,Other Religions,Jews,All Religions,Max
272,287,2020,Sub-Saharan Africa,Central African Rep.,4770000,480000,50000,1,1,50000,1,1,5360000,Christians
273,288,2020,Sub-Saharan Africa,Chad,6040000,8090000,350000,1,1,190000,20000,1,14690000,Muslims
274,289,2020,Europe,Channel Islands,130000,1,20000,1,1,1,1,1,150000,Christians
275,290,2020,Latin America-Caribbean,Chile,16380000,10000,1800000,1,10000,270000,40000,20000,18540000,Christians
276,291,2020,Asia-Pacific,China,72410000,28010000,720100000,30000,254700000,304620000,9560000,1,1389430000,Unaffiliated
277,292,2020,Latin America-Caribbean,Colombia,48150000,10000,3510000,1,1,430000,40000,1,52160000,Christians
278,293,2020,Sub-Saharan Africa,Comoros,1,940000,1,1,1,1,1,1,960000,Muslims
279,294,2020,Sub-Saharan Africa,Congo,4480000,60000,410000,1,1,140000,50000,1,5150000,Christians
280,295,2020,Sub-Saharan Africa,Dem. Rep. Congo,81520000,1310000,1450000,40000,1,620000,110000,1,85060000,Christians
281,296,2020,Asia-Pacific,Cook Islands,20000,1,1,1,1,1,1,1,20000,Christians
282,297,2020,Latin America-Caribbean,Costa Rica,4780000,1,420000,1,1,40000,20000,1,5270000,Christians
283,298,2020,Sub-Saharan Africa,Côte d'Ivoire,10690000,9040000,1970000,1,10000,2550000,40000,1,24320000,Christians
284,299,2020,Europe,Croatia,4010000,70000,220000,1,1,1,1,1,4300000,Christians
285,300,2020,Latin America-Caribbean,Cuba,6610000,1,2600000,20000,1,1980000,1,1,11230000,Christians
286,301,2020,Asia-Pacific,Cyprus,880000,300000,20000,1,1,1,1,1,1220000,Christians
287,302,2020,Europe,Czech Rep.,2210000,20000,8280000,1,20000,20000,1,1,10560000,Unaffiliated
288,303,2020,Europe,Denmark,4640000,290000,680000,30000,20000,1,1,1,5670000,Christians
289,304,2020,Sub-Saharan Africa,Djibouti,20000,1030000,1,1,1,1,1,1,1070000,Muslims
290,305,2020,Latin America-Caribbean,Dominica,70000,1,1,1,1,1,1,1,70000,Christians
291,306,2020,Latin America-Caribbean,Dominican Rep.,9930000,1,1230000,1,1,100000,10000,1,11280000,Christians
292,307,2020,Latin America-Caribbean,Ecuador,15490000,1,920000,1,1,50000,1,1,16480000,Christians
293,308,2020,Middle East-North Africa,Egypt,4440000,90420000,1,1,1,1,1,1,94870000,Muslims
294,309,2020,Latin America-Caribbean,El Salvador,5870000,1,740000,1,1,30000,20000,1,6670000,Christians
295,310,2020,Sub-Saharan Africa,Eq. Guinea,770000,30000,40000,1,1,10000,1,1,860000,Christians
296,311,2020,Sub-Saharan Africa,Eritrea,4230000,2460000,1,1,1,30000,1,1,6730000,Christians
297,312,2020,Europe,Estonia,500000,1,770000,1,1,1,1,1,1280000,Unaffiliated
298,313,2020,Sub-Saharan Africa,Ethiopia,62610000,36290000,60000,1,1,2120000,10000,1,101100000,Christians
299,314,2020,Europe,Faeroe Islands,50000,1,1,1,1,1,1,1,50000,Christians
300,315,2020,Latin America-Caribbean,Falkland Is.,1,1,1,1,1,1,1,1,1,Christians
301,316,2020,Asia-Pacific,Fiji,630000,60000,1,270000,1,1,1,1,980000,Christians
302,317,2020,Europe,Finland,4280000,70000,1140000,1,1,1,1,1,5510000,Christians
303,318,2020,Europe,France,37940000,5430000,20830000,40000,310000,250000,110000,340000,65260000,Christians
304,319,2020,Latin America-Caribbean,French Guiana,240000,1,10000,1,1,20000,1,1,280000,Christians
305,320,2020,Asia-Pacific,French Polynesia,280000,1,10000,1,1,1,1,1,300000,Christians
306,321,2020,Sub-Saharan Africa,Gabon,1400000,230000,110000,1,1,110000,10000,1,1860000,Christians
307,322,2020,Sub-Saharan Africa,Gambia,100000,2260000,1,1,1,1,1,1,2370000,Muslims
308,323,2020,Europe,Georgia,3690000,490000,30000,1,1,1,1,1,4220000,Christians
309,324,2020,Europe,Germany,53190000,5530000,21150000,80000,230000,40000,100000,220000,80540000,Christians
310,325,2020,Sub-Saharan Africa,Ghana,22330000,5300000,1160000,1,1,1500000,40000,1,30350000,Christians
311,326,2020,Europe,Gibraltar,30000,1,1,1,1,1,1,1,30000,Christians
312,327,2020,Europe,Greece,9850000,660000,690000,20000,1,10000,10000,1,11250000,Christians
313,328,2020,North America,Greenland,50000,1,1,1,1,1,1,1,60000,Christians
314,329,2020,Latin America-Caribbean,Grenada,120000,1,1,1,1,1,1,1,120000,Christians
315,330,2020,Latin America-Caribbean,Guadeloupe,470000,1,10000,1,1,1,1,1,490000,Christians
316,331,2020,Asia-Pacific,Guam,190000,1,1,1,1,1,1,1,200000,Christians
317,332,2020,Latin America-Caribbean,Guatemala,17360000,1,720000,1,1,110000,20000,1,18210000,Christians
318,333,2020,Sub-Saharan Africa,Guinea,1380000,10800000,230000,1,10000,340000,1,1,12760000,Muslims
319,334,2020,Sub-Saharan Africa,Guinea-Bissau,350000,850000,80000,1,1,560000,1,1,1840000,Muslims
320,335,2020,Latin America-Caribbean,Guyana,580000,50000,20000,200000,1,1,1,1,850000,Christians
321,336,2020,Latin America-Caribbean,Haiti,10040000,1,1230000,1,1,240000,30000,1,11550000,Christians
322,337,2020,Europe,Vatican City,1,1,1,1,1,1,1,1,1,Christians
323,338,2020,Latin America-Caribbean,Honduras,7950000,10000,950000,1,10000,100000,60000,1,9090000,Christians
324,339,2020,Asia-Pacific,Hong Kong,1120000,160000,4090000,30000,1000000,970000,110000,1,7480000,Unaffiliated
325,340,2020,Europe,Hungary,7680000,10000,1970000,1,1,1,1,1,9690000,Christians
326,341,2020,Europe,Iceland,330000,1,10000,1,1,1,1,1,350000,Christians
327,342,2020,Asia-Pacific,India,33800000,213340000,900000,1093780000,10140000,6540000,28520000,10000,1387030000,Hindus
328,343,2020,Asia-Pacific,Indonesia,26930000,229620000,240000,4210000,1800000,750000,360000,1,263910000,Muslims
329,344,2020,Asia-Pacific,Iran,100000,80880000,100000,20000,1,1,140000,1,81250000,Muslims
330,345,2020,Middle East-North Africa,Iraq,320000,41430000,50000,1,1,1,20000,1,41830000,Muslims
331,346,2020,Europe,Ireland,4590000,80000,400000,20000,10000,1,1,1,5110000,Christians
332,347,2020,Europe,Isle of Man,80000,1,10000,1,1,1,1,1,90000,Christians
333,348,2020,Middle East-North Africa,Israel,180000,1730000,280000,1,20000,20000,10000,6360000,8600000,Jews
334,349,2020,Europe,Italy,48720000,2960000,8100000,140000,150000,100000,60000,50000,60270000,Christians
335,350,2020,Latin America-Caribbean,Jamaica,2270000,1,500000,1,1,140000,30000,1,2930000,Christians
336,351,2020,Asia-Pacific,Japan,2190000,220000,74780000,40000,41380000,500000,5550000,1,124660000,Unaffiliated
337,352,2020,Middle East-North Africa,Jordan,160000,7410000,1,10000,30000,1,1,1,7640000,Muslims
338,353,2020,Asia-Pacific,Kazakhstan,4130000,12870000,720000,1,60000,70000,20000,1,17880000,Muslims
339,354,2020,Sub-Saharan Africa,Kenya,44460000,5550000,1200000,70000,1,780000,570000,1,52630000,Christians
340,355,2020,Asia-Pacific,Kiribati,110000,1,1,1,1,1,1,1,110000,Christians
341,356,2020,Europe,Kosovo,100000,1750000,1,1,1,1,1,1,1860000,Muslims
342,357,2020,Middle East-North Africa,Kuwait,450000,2350000,1,330000,180000,1,1,1,3320000,Muslims
343,358,2020,Asia-Pacific,Kyrgyzstan,620000,5540000,30000,1,1,1,1,1,6190000,Muslims
344,359,2020,Asia-Pacific,Lao PDR,110000,1,60000,1,4630000,2370000,50000,1,7240000,Buddhists
345,360,2020,Europe,Latvia,1160000,1,960000,1,1,1,1,1,2130000,Christians
346,361,2020,Middle East-North Africa,Lebanon,1740000,2780000,10000,1,1,1,1,1,4550000,Muslims
347,362,2020,Sub-Saharan Africa,Lesotho,2310000,1,70000,1,1,1,1,1,2380000,Christians
348,363,2020,Sub-Saharan Africa,Liberia,4480000,610000,70000,1,1,30000,1,1,5200000,Christians
349,364,2020,Middle East-North Africa,Libya,200000,7170000,10000,1,20000,1,1,1,7420000,Muslims
350,365,2020,Europe,Liechtenstein,40000,1,1,1,1,1,1,1,40000,Christians
351,366,2020,Europe,Lithuania,2820000,1,310000,1,1,1,1,1,3130000,Christians
352,367,2020,Europe,Luxembourg,370000,10000,140000,1,1,1,1,1,520000,Christians
353,368,2020,Asia-Pacific,Macau,40000,1,90000,1,100000,340000,1,1,570000,Folk Religions
354,369,2020,Europe,Republic of Macedonia,1100000,870000,30000,1,1,1,1,1,2000000,Christians
355,370,2020,Sub-Saharan Africa,Madagascar,23200000,850000,2010000,20000,1,1270000,30000,1,27380000,Christians
356,371,2020,Sub-Saharan Africa,Malawi,17280000,2660000,410000,10000,1,340000,10000,1,20720000,Christians
357,372,2020,Asia-Pacific,Malaysia,3140000,22070000,200000,1940000,5220000,730000,50000,1,33360000,Muslims
358,373,2020,Asia-Pacific,Maldives,1,350000,1,1,1,1,1,1,360000,Muslims
359,374,2020,Sub-Saharan Africa,Mali,490000,19610000,110000,1,1,530000,1,1,20730000,Muslims
360,375,2020,Europe,Malta,400000,1,10000,1,1,1,1,1,420000,Christians
361,376,2020,Asia-Pacific,Marshall Islands,50000,1,1,1,1,1,1,1,50000,Christians
362,377,2020,Latin America-Caribbean,Martinique,400000,1,1,1,1,1,1,1,420000,Christians
363,378,2020,Sub-Saharan Africa,Mauritania,10000,4310000,1,1,1,20000,1,1,4350000,Muslims
364,379,2020,Sub-Saharan Africa,Mauritius,440000,230000,10000,640000,1,1,1,1,1330000,Hindus
365,380,2020,Sub-Saharan Africa,Mayotte,1,270000,1,1,1,1,1,1,270000,Muslims
366,381,2020,Latin America-Caribbean,Mexico,118570000,1,7240000,1,10000,70000,20000,80000,126010000,Christians
367,382,2020,Asia-Pacific,Federated States of Micronesia,130000,1,1,1,1,1,1,1,130000,Christians
368,383,2020,Europe,Moldova,3260000,30000,40000,1,1,1,1,20000,3350000,Christians
369,384,2020,Europe,Monaco,30000,1,1,1,1,1,1,1,40000,Christians
370,385,2020,Asia-Pacific,Mongolia,70000,110000,1160000,1,1730000,110000,1,1,3190000,Buddhists
371,386,2020,Europe,Montenegro,490000,130000,20000,1,1,1,1,1,640000,Christians
372,387,2020,Latin America-Caribbean,Montserrat,1,1,1,1,1,1,1,1,1,Christians
373,388,2020,Middle East-North Africa,Morocco,20000,35510000,1,1,1,1,1,1,35530000,Muslims
374,389,2020,Sub-Saharan Africa,Mozambique,16760000,5000000,5020000,10000,1,2210000,1,1,29000000,Christians
375,390,2020,Asia-Pacific,Burma (Myanmar),4040000,2200000,260000,890000,41440000,2990000,90000,1,51910000,Buddhists
376,391,2020,Sub-Saharan Africa,Namibia,2600000,1,50000,1,1,1,1,1,2670000,Christians
377,392,2020,Asia-Pacific,Nauru,1,1,1,1,1,1,1,1,10000,Christians
378,393,2020,Asia-Pacific,Nepal,170000,1790000,90000,28600000,3540000,1290000,30000,1,35490000,Hindus
379,394,2020,Europe,Netherlands,8070000,1170000,7550000,100000,50000,40000,40000,30000,17040000,Christians
380,395,2020,Asia-Pacific,New Caledonia,230000,1,30000,1,1,1,1,1,280000,Christians
381,396,2020,Asia-Pacific,New Zealand,2540000,80000,1910000,120000,90000,20000,40000,1,4810000,Christians
382,397,2020,Latin America-Caribbean,Nicaragua,5710000,1,870000,1,1,90000,1,1,6690000,Christians
383,398,2020,Sub-Saharan Africa,Niger,200000,21660000,170000,1,1,20000,1,1,22040000,Muslims
384,399,2020,Sub-Saharan Africa,Nigeria,96080000,104650000,790000,1,20000,3050000,110000,1,204690000,Muslims
385,400,2020,Asia-Pacific,Niue,1,1,1,1,1,1,1,1,1,Christians
386,401,2020,Asia-Pacific,Dem. Rep. Korea,500000,1,18070000,1,380000,3130000,3270000,1,25350000,Unaffiliated
387,402,2020,Asia-Pacific,Northern Mariana Islands,50000,1,1,1,1,1,1,1,60000,Christians
388,403,2020,Europe,Norway,4230000,250000,600000,30000,40000,1,10000,1,5180000,Christians
389,404,2020,Middle East-North Africa,Oman,220000,2890000,10000,190000,20000,1,30000,1,3370000,Muslims
390,405,2020,Asia-Pacific,Pakistan,3260000,200490000,30000,3990000,20000,40000,30000,1,207860000,Muslims
391,406,2020,Asia-Pacific,Palau,20000,1,1,1,1,1,1,1,20000,Christians
392,407,2020,Middle East-North Africa,Palestinian territories,110000,5250000,1,1,1,1,1,1,5360000,Muslims
393,408,2020,Latin America-Caribbean,Panama,3720000,30000,200000,1,1,20000,20000,20000,4020000,Christians
394,409,2020,Asia-Pacific,Papua New Guinea,8390000,1,1,1,1,40000,20000,1,8460000,Christians
395,410,2020,Latin America-Caribbean,Paraguay,7390000,1,90000,1,1,130000,10000,1,7630000,Christians
396,411,2020,Latin America-Caribbean,Peru,31420000,1,1010000,1,50000,330000,110000,1,32920000,Christians
397,412,2020,Asia-Pacific,Philippines,102320000,6330000,110000,1,100000,1750000,160000,1,110780000,Christians
398,413,2020,Europe,Poland,35120000,20000,2780000,1,1,1,1,10000,37950000,Christians
399,414,2020,Europe,Portugal,9370000,40000,890000,1,20000,20000,1,1,10360000,Christians
400,415,2020,Latin America-Caribbean,Puerto Rico,3660000,1,80000,1,10000,30000,1,1,3790000,Christians
401,416,2020,Middle East-North Africa,Qatar,310000,1490000,20000,360000,90000,1,10000,1,2290000,Muslims
402,417,2020,Sub-Saharan Africa,Reunion,820000,40000,20000,40000,1,1,10000,1,940000,Christians
403,418,2020,Europe,Romania,20320000,80000,20000,1,1,1,1,1,20430000,Christians
404,419,2020,Europe,Russia,101900000,15940000,21190000,60000,170000,300000,10000,200000,139760000,Christians
405,420,2020,Sub-Saharan Africa,Rwanda,13230000,310000,430000,1,1,100000,30000,1,14100000,Christians
406,421,2020,Sub-Saharan Africa,St. Helena,1,1,1,1,1,1,1,1,1,Christians
407,422,2020,Latin America-Caribbean,St. Kitts and Nevis,60000,1,1,1,1,1,1,1,60000,Christians
408,423,2020,Latin America-Caribbean,St. Lucia,180000,1,10000,1,1,1,1,1,190000,Christians
409,424,2020,North America,St. Pierre and Miquelon,1,1,1,1,1,1,1,1,1,Christians
410,425,2020,Latin America-Caribbean,St. Vincent and the Grenadines,110000,1,1,1,1,1,1,1,120000,Christians
411,426,2020,Asia-Pacific,Samoa,220000,1,1,1,1,1,1,1,220000,Christians
412,427,2020,Europe,San Marino,30000,1,1,1,1,1,1,1,30000,Christians
413,428,2020,Sub-Saharan Africa,Sao Tome and Principe,170000,1,30000,1,1,1,1,1,210000,Christians
414,429,2020,Middle East-North Africa,Saudi Arabia,1450000,30690000,210000,440000,130000,90000,80000,1,33090000,Muslims
415,430,2020,Sub-Saharan Africa,Senegal,530000,15480000,1,1,1,1,1,1,16020000,Muslims
416,431,2020,Europe,Serbia,7040000,390000,260000,1,1,1,1,1,7690000,Christians
417,432,2020,Sub-Saharan Africa,Seychelles,90000,1,1,1,1,1,1,1,100000,Christians
418,433,2020,Sub-Saharan Africa,Sierra Leone,1460000,5620000,1,1,1,60000,1,1,7160000,Muslims
419,434,2020,Asia-Pacific,Singapore,1040000,950000,970000,380000,1890000,140000,500000,1,5870000,Buddhists
420,435,2020,Europe,Slovakia,4640000,20000,880000,1,1,1,1,1,5550000,Christians
421,436,2020,Europe,Slovenia,1550000,80000,380000,1,1,1,1,1,2010000,Christians
422,437,2020,Asia-Pacific,Solomon Is.,670000,1,1,1,1,1,1,1,680000,Christians
423,438,2020,Sub-Saharan Africa,Somalia,1,12110000,1,1,1,1,1,1,12140000,Muslims
424,439,2020,Sub-Saharan Africa,South Africa,43530000,1010000,8220000,540000,90000,260000,180000,60000,53890000,Christians
425,440,2020,Asia-Pacific,Korea,15000000,150000,23250000,20000,10950000,410000,110000,1,49890000,Unaffiliated
426,441,2020,Europe,Spain,36410000,1610000,10190000,40000,20000,50000,20000,60000,48400000,Christians
427,442,2020,Asia-Pacific,Sri Lanka,1620000,2340000,1,3090000,15440000,1,1,1,22510000,Buddhists
428,443,2020,Middle East-North Africa,Sudan,2280000,38430000,440000,1,1,1200000,1,1,42360000,Muslims
429,444,2020,Latin America-Caribbean,Suriname,300000,80000,40000,110000,1,30000,10000,1,580000,Christians
430,445,2020,Sub-Saharan Africa,Swaziland,1180000,1,130000,1,1,10000,1,1,1330000,Christians
431,446,2020,Europe,Sweden,6210000,640000,2860000,30000,60000,20000,20000,10000,9860000,Christians
432,447,2020,Europe,Swaziland,5530000,440000,1800000,40000,50000,1,10000,20000,7900000,Christians
433,448,2020,Middle East-North Africa,Syria,1260000,22590000,500000,1,1,1,1,1,24350000,Muslims
434,449,2020,Asia-Pacific,Taiwan,1350000,10000,3190000,1,4930000,10190000,3610000,1,23280000,Folk Religions
435,450,2020,Asia-Pacific,Tajikistan,150000,8130000,130000,1,1,1,1,1,8430000,Muslims
436,451,2020,Sub-Saharan Africa,Tanzania,38740000,20950000,1000000,50000,1,670000,20000,1,61440000,Christians
437,452,2020,Asia-Pacific,Thailand,650000,4290000,200000,80000,66120000,60000,1,1,71420000,Buddhists
438,453,2020,Asia-Pacific,Timor-Leste,1520000,1,1,1,1,1,1,1,1530000,Christians
439,454,2020,Sub-Saharan Africa,Togo,3070000,1020000,450000,1,1,2680000,40000,1,7260000,Christians
440,455,2020,Asia-Pacific,Tokelau,1,1,1,1,1,1,1,1,1,Christians
441,456,2020,Asia-Pacific,Tonga,130000,1,1,1,1,1,1,1,130000,Christians
442,457,2020,Latin America-Caribbean,Trinidad and Tobago,910000,80000,30000,310000,1,30000,20000,1,1370000,Christians
443,458,2020,Middle East-North Africa,Tunisia,20000,11440000,30000,1,1,1,1,1,11490000,Muslims
444,459,2020,Asia-Pacific,Turkey,380000,79090000,960000,1,40000,30000,170000,30000,80680000,Muslims
445,460,2020,Asia-Pacific,Turkmenistan,370000,5340000,30000,1,1,1,1,1,5740000,Muslims
446,461,2020,Latin America-Caribbean,Turks and Caicos Islands,30000,1,1,1,1,1,1,1,40000,Christians
447,462,2020,Asia-Pacific,Tuvalu,1,1,1,1,1,1,1,1,10000,Christians
448,463,2020,Sub-Saharan Africa,Uganda,39390000,5550000,230000,140000,1,390000,50000,1,45760000,Christians
449,464,2020,Europe,Ukraine,36860000,730000,5370000,30000,20000,20000,1,40000,43070000,Christians
450,465,2020,Middle East-North Africa,United Arab Emirates,1110000,6420000,100000,660000,210000,1,60000,1,8560000,Muslims
451,466,2020,Europe,United Kingdom,38020000,3950000,20070000,1030000,380000,90000,500000,270000,64310000,Christians
452,467,2020,North America,United States,252870000,3850000,62310000,2510000,4170000,850000,2770000,5700000,335030000,Christians
453,468,2020,Latin America-Caribbean,U.S. Virgin Islands,110000,1,1,1,1,1,1,1,110000,Christians
454,469,2020,Latin America-Caribbean,Uruguay,1990000,1,1450000,1,1,30000,10000,1,3490000,Christians
455,470,2020,Asia-Pacific,Uzbekistan,620000,30180000,240000,1,10000,20000,1,10000,31080000,Muslims
456,471,2020,Asia-Pacific,Vanuatu,280000,1,1,1,1,10000,1,1,300000,Christians
457,472,2020,Latin America-Caribbean,Venezuela,29540000,100000,3220000,1,1,120000,30000,1,33010000,Christians
458,473,2020,Asia-Pacific,Vietnam,8070000,180000,28760000,1,15560000,43360000,390000,1,96320000,Folk Religions
459,474,2020,Asia-Pacific,Wallis and Futuna,10000,1,1,1,1,1,1,1,10000,Christians
460,475,2020,Middle East-North Africa,W. Sahara,1,610000,1,1,1,1,1,1,610000,Muslims
461,476,2020,Middle East-North Africa,Yemen,50000,32060000,30000,200000,1,1,1,1,32360000,Muslims
462,477,2020,Sub-Saharan Africa,Zambia,17510000,110000,100000,20000,1,60000,170000,1,17970000,Christians
463,478,2020,Sub-Saharan Africa,Zimbabwe,12720000,140000,1110000,1,1,580000,40000,10000,14610000,Christians
464,479,2020,Sub-Saharan Africa,S. Sudan,7530000,770000,60000,1,1,4090000,1,1,12450000,Christians
465,480,2020,Latin America-Caribbean,Curacao,160000,1,1,1,1,1,1,1,170000,Christians
466,481,2020,Latin America-Caribbean,Sint Maarten,50000,1,1,1,1,1,1,1,50000,Christians
467,482,2020,Latin America-Caribbean,Caribbean Netherlands,20000,1,1,1,1,1,1,1,20000,Christians
468,490,2030,Asia-Pacific,Afghanistan,50000,51030000,10000,20000,10000,1,40000,1,51170000,Muslims
469,491,2030,Europe,Albania,490000,2630000,20000,1,1,1,1,1,3150000,Muslims
470,492,2030,Middle East-North Africa,Algeria,70000,42660000,800000,1,1,10000,1,1,43560000,Muslims
471,493,2030,Asia-Pacific,American Samoa,60000,1,1,1,1,1,1,1,60000,Christians
472,494,2030,Europe,Andorra,80000,1,1,1,1,1,1,1,90000,Christians
473,495,2030,Sub-Saharan Africa,Angola,27500000,60000,1570000,1,1,1250000,1,1,30390000,Christians
474,496,2030,Latin America-Caribbean,Anguilla,10000,1,1,1,1,1,1,1,20000,Christians
475,497,2030,Latin America-Caribbean,Antigua and Barbuda,100000,1,1,1,1,1,1,1,100000,Christians
476,498,2030,Latin America-Caribbean,Argentina,39880000,410000,5620000,1,20000,320000,120000,190000,46570000,Christians
477,499,2030,Asia-Pacific,Armenia,3200000,20000,40000,1,1,1,1,1,3270000,Christians
478,500,2030,Latin America-Caribbean,Aruba,100000,1,1,1,1,1,1,1,110000,Christians
479,501,2030,Asia-Pacific,Australia,14890000,940000,8640000,490000,810000,210000,240000,130000,26340000,Christians
480,502,2030,Europe,Austria,6640000,610000,1330000,10000,30000,10000,10000,20000,8670000,Christians
481,503,2030,Asia-Pacific,Azerbaijan,250000,10400000,1,1,1,1,1,1,10660000,Muslims
482,504,2030,Latin America-Caribbean,Bahamas,390000,1,10000,1,1,1,1,1,400000,Christians
483,505,2030,Middle East-North Africa,Bahrain,220000,1120000,30000,170000,60000,1,1,1,1610000,Muslims
484,506,2030,Asia-Pacific,Bangladesh,580000,168050000,1,14490000,1130000,130000,130000,1,184500000,Muslims
485,507,2030,Latin America-Caribbean,Barbados,270000,1,1,1,1,1,1,1,280000,Christians
486,508,2030,Europe,Belarus,6450000,100000,2570000,1,1,1,1,1,9130000,Christians
487,509,2030,Europe,Belgium,6320000,980000,3570000,20000,50000,40000,10000,30000,11010000,Christians
488,510,2030,Latin America-Caribbean,Belize,390000,1,40000,1,1,1,1,1,440000,Christians
489,511,2030,Sub-Saharan Africa,Benin,7410000,3720000,790000,1,1,2650000,1,1,14560000,Christians
490,512,2030,North America,Bermuda,50000,1,10000,1,1,1,1,1,70000,Christians
491,513,2030,Asia-Pacific,Bhutan,1,1,1,200000,680000,20000,1,1,910000,Buddhists
492,514,2030,Latin America-Caribbean,Bolivia,12930000,1,560000,1,10000,110000,130000,1,13740000,Christians
493,515,2030,Europe,Bosnia and Herz.,1640000,1560000,70000,1,1,1,1,1,3270000,Christians
494,516,2030,Sub-Saharan Africa,Botswana,1910000,30000,360000,1,1,80000,10000,1,2390000,Christians
495,517,2030,Latin America-Caribbean,Brazil,192800000,40000,19330000,1,250000,7690000,310000,110000,220530000,Christians
496,518,2030,Latin America-Caribbean,British Virgin Islands,30000,1,1,1,1,1,1,1,30000,Christians
497,519,2030,Asia-Pacific,Brunei,50000,360000,1,1,40000,30000,1,1,480000,Muslims
498,520,2030,Europe,Bulgaria,5020000,920000,330000,1,1,1,1,1,6270000,Christians
499,521,2030,Sub-Saharan Africa,Burkina Faso,6350000,19240000,170000,1,1,4660000,1,1,30430000,Muslims
500,522,2030,Sub-Saharan Africa,Burundi,10450000,340000,1,1,1,700000,1,1,11490000,Christians
501,523,2030,Asia-Pacific,Cambodia,70000,360000,30000,1,17310000,100000,1,1,17890000,Buddhists
502,524,2030,Sub-Saharan Africa,Cameroon,19770000,5820000,1430000,1,1,910000,770000,1,28710000,Christians
503,525,2030,North America,Canada,24730000,1400000,9760000,770000,460000,500000,560000,480000,38650000,Christians
504,526,2030,Sub-Saharan Africa,Cape Verde,570000,1,60000,1,1,1,1,1,640000,Christians
505,527,2030,Latin America-Caribbean,Cayman Islands,60000,1,1,1,1,1,1,1,70000,Christians
506,528,2030,Sub-Saharan Africa,Central African Rep.,5700000,600000,60000,1,1,60000,1,1,6430000,Christians
507,529,2030,Sub-Saharan Africa,Chad,7750000,10280000,410000,1,1,250000,30000,1,18720000,Muslims
508,530,2030,Europe,Channel Islands,130000,1,20000,1,1,1,1,1,150000,Christians
509,531,2030,Latin America-Caribbean,Chile,17110000,20000,2070000,1,10000,280000,40000,30000,19550000,Christians
510,532,2030,Asia-Pacific,China,73460000,30820000,720430000,30000,256440000,305930000,9680000,1,1396800000,Unaffiliated
511,533,2030,Latin America-Caribbean,Colombia,52310000,10000,3920000,1,1,480000,50000,1,56780000,Christians
512,534,2030,Sub-Saharan Africa,Comoros,1,1190000,1,1,1,10000,1,1,1210000,Muslims
513,535,2030,Sub-Saharan Africa,Congo,5580000,70000,500000,1,1,170000,60000,1,6390000,Christians
514,536,2030,Sub-Saharan Africa,Dem. Rep. Congo,101410000,1700000,1820000,60000,1,780000,140000,1,105910000,Christians
515,537,2030,Asia-Pacific,Cook Islands,20000,1,1,1,1,1,1,1,20000,Christians
516,538,2030,Latin America-Caribbean,Costa Rica,5220000,1,470000,1,1,50000,20000,1,5760000,Christians
517,539,2030,Sub-Saharan Africa,Côte d'Ivoire,12730000,10890000,2460000,1,20000,3230000,50000,1,29380000,Christians
518,540,2030,Europe,Croatia,3880000,70000,200000,1,1,1,1,1,4150000,Christians
519,541,2030,Latin America-Caribbean,Cuba,6420000,1,2550000,20000,1,1960000,1,1,10970000,Christians
520,542,2030,Asia-Pacific,Cyprus,930000,330000,30000,1,1,1,1,1,1310000,Christians
521,543,2030,Europe,Czech Rep.,2000000,40000,8270000,1,30000,40000,1,1,10400000,Unaffiliated
522,544,2030,Europe,Denmark,4660000,360000,670000,30000,30000,1,1,1,5760000,Christians
523,545,2030,Sub-Saharan Africa,Djibouti,30000,1200000,1,1,1,1,1,1,1240000,Muslims
524,546,2030,Latin America-Caribbean,Dominica,70000,1,1,1,1,1,1,1,80000,Christians
525,547,2030,Latin America-Caribbean,Dominican Rep.,10930000,1,1340000,1,1,110000,10000,1,12400000,Christians
526,548,2030,Latin America-Caribbean,Ecuador,17030000,1,1030000,1,1,50000,1,1,18140000,Christians
527,549,2030,Middle East-North Africa,Egypt,4620000,102090000,1,1,1,1,1,1,106720000,Muslims
528,550,2030,Latin America-Caribbean,El Salvador,6090000,1,780000,1,1,30000,20000,1,6920000,Christians
529,551,2030,Sub-Saharan Africa,Eq. Guinea,910000,40000,50000,1,1,20000,1,1,1030000,Christians
530,552,2030,Sub-Saharan Africa,Eritrea,5160000,3000000,10000,1,1,30000,1,1,8200000,Christians
531,553,2030,Europe,Estonia,470000,1,720000,1,1,1,1,1,1200000,Unaffiliated
532,554,2030,Sub-Saharan Africa,Ethiopia,71940000,44210000,80000,1,1,2360000,10000,1,118600000,Christians
533,555,2030,Europe,Faeroe Islands,50000,1,1,1,1,1,1,1,50000,Christians
534,556,2030,Latin America-Caribbean,Falkland Is.,1,1,1,1,1,1,1,1,1,Christians
535,557,2030,Asia-Pacific,Fiji,690000,70000,1,300000,1,1,1,1,1080000,Christians
536,558,2030,Europe,Finland,4230000,110000,1220000,1,10000,1,1,1,5580000,Christians
537,559,2030,Europe,France,35640000,6100000,24200000,50000,350000,280000,120000,350000,67090000,Christians
538,560,2030,Latin America-Caribbean,French Guiana,280000,1,10000,1,1,30000,1,1,340000,Christians
539,561,2030,Asia-Pacific,French Polynesia,300000,1,20000,1,1,1,1,1,320000,Christians
540,562,2030,Sub-Saharan Africa,Gabon,1660000,300000,130000,1,1,130000,20000,1,2240000,Christians
541,563,2030,Sub-Saharan Africa,Gambia,120000,2980000,1,1,1,10000,1,1,3120000,Muslims
542,564,2030,Europe,Georgia,3470000,500000,30000,1,1,1,1,1,4000000,Christians
