,Unnamed: 0,guid,first,last,mid,total_income,income,total_area,estate,cars,debt,assets,internal_id
38,38,nacp_6a41a624-2c33-49b3-b691-4a60c0161e78,Валерій,Писаренко,Володимирович,121730,"[{'size': '121730', 'sizeIncome_hidden': 0, 'type': '', 'is_foreign': 0}]",0,0,0,0,0,5065.0
39,39,nacp_6b39321b-e2ef-4e32-808e-ee2e43398d46,Олександр,Кирилюк,Іванович,136720,"[{'size': 136720.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}, {'size': 0, 'sizeIncome_hidden': 0, 'type': 'pension', 'is_foreign': 0}, {'size': 0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}]",23880,"[{'area': 80.0, 'date': '31.12.2016', 'cost': '23000', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'house', 'area_hidden': False}, {'area': 11900.0, 'date': '20.06.2007', 'cost': '13500', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}, {'area': 11900.0, 'date': '23.05.2011', 'cost': '13500', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}]","[{'brand': 'ВАЗ', 'cost': 7000.0, 'date': '13.06.2012', 'year': 1982.0, 'dnt_costDate_hidden': False, 'dnt_graduationYear_hidden': False, 'type': 'car'}]",0,0,26264.0
40,40,nacp_6b76e621-586b-4e2f-b80e-516141977c3a,Олена,Цовма,Олександрівна,817981,"[{'size': 355506.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}, {'size': 6062.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}, {'size': 95.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}, {'size': 137592.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}, {'size': 9443.0, 'sizeIncome_hidden': 0, 'type': 'interest', 'is_foreign': 0}, {'size': 6062.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}, {'size': 37543.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}, {'size': 5000.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}, {'size': 31647.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}, {'size': 42880.0, 'sizeIncome_hidden': 0, 'type': 'business', 'is_foreign': 0}, {'size': 1860.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}, {'size': 176028.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}, {'size': 1295.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}, {'size': 55.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}, {'size': 5963.0, 'sizeIncome_hidden': 0, 'type': 'leasing', 'is_foreign': 0}, {'size': 650.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}, {'size': 300.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}]",270885,"[{'area': 88.5, 'date': '13.11.2019', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'house', 'area_hidden': False}, {'area': 2500.0, 'date': '13.11.2019', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}, {'area': 12555.0, 'date': '13.11.2019', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}, {'area': 80900.0, 'date': '13.11.2019', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}, {'area': 72242.0, 'date': '13.12.2019', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}, {'area': 11300.0, 'date': '13.11.2019', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}, {'area': 11300.0, 'date': '13.11.2007', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}, {'area': 20000.0, 'date': '04.03.2016', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}, {'area': 20000.0, 'date': '04.03.2016', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}, {'area': 20000.0, 'date': '13.11.2019', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}, {'area': 20000.0, 'date': '09.10.2017', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}]","[{'brand': 'ГАЗ', 'cost': 30000.0, 'date': '07.08.2012', 'year': 2002.0, 'dnt_costDate_hidden': False, 'dnt_graduationYear_hidden': False, 'type': 'truck'}, {'brand': 'ВАЗ', 'cost': 36000.0, 'date': '26.12.2007', 'year': 2007.0, 'dnt_costDate_hidden': False, 'dnt_graduationYear_hidden': False, 'type': 'car'}]",0,"[{'assetsCurrency': 'UAH', 'size': 126881.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': '!немає даних'}]",53002.0
41,41,nacp_6dc302ec-51dd-44df-b7a2-7a7430d04add,Лариса,Босевська,Павлівна,150940,"[{'size': 150940.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}]",0,[],0,0,"[{'assetsCurrency': 'UAH', 'size': 75000.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': False}, {'assetsCurrency': 'USD', 'size': 1000.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': False}, {'assetsCurrency': 'USD', 'size': 8000.0, 'dnt_sizeAssets_hidden': False, 'type': 'cash', 'dnt_is_foreign': False}]",44519.0
42,42,nacp_6dc6840e-0d3a-48fc-8e7c-bb0c390fc04b,Катерина,Сікора,Олександрівна,117318,"[{'size': '117318', 'sizeIncome_hidden': 0, 'type': '', 'is_foreign': 0}]",0,0,0,0,0,41656.0
0,0,nacp_0ca2063b-f2f4-4d8d-88fd-24fc3446574e,Оксана,Маркарова,Сергіївна,1031212,"[{'size': '1031212', 'sizeIncome_hidden': 0, 'type': '', 'is_foreign': 0}]",0,0,0,0,0,4773.0
1,1,nacp_51ebafaf-640d-480e-ac2e-e027c1e7d291,Максим,Собко,Олегович,237811,"[{'size': 120629.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}, {'size': 1060.0, 'sizeIncome_hidden': 0, 'type': 'leasing', 'is_foreign': 0}, {'size': 116122.0, 'sizeIncome_hidden': 0, 'type': 'inheritance', 'is_foreign': 0}]",95373,"[{'area': 20.3, 'date': '15.07.2016', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'office', 'area_hidden': False}, {'area': 56.7, 'date': '08.09.2016', 'cost': '320000', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'office', 'area_hidden': False}, {'area': 166.2, 'date': '11.04.2018', 'cost': '26525', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'other', 'area_hidden': False}, {'area': 13000.0, 'date': '02.10.2018', 'cost': '28730', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}, {'area': 59.0, 'date': '13.09.2019', 'cost': '125948', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'house', 'area_hidden': False}, {'area': 44.7, 'date': '29.05.2019', 'cost': '50000', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'house', 'area_hidden': False}, {'area': 2500.0, 'date': '29.05.2019', 'cost': '11000', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}, {'area': 2673.0, 'date': '29.05.2019', 'cost': '30000', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}, {'area': 76855.0, 'date': '23.10.2019', 'cost': '116122', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}]",0,0,"[{'assetsCurrency': 'UAH', 'size': 45000.0, 'dnt_sizeAssets_hidden': False, 'type': 'cash', 'dnt_is_foreign': False}, {'assetsCurrency': 'USD', 'size': 10000.0, 'dnt_sizeAssets_hidden': False, 'type': 'cash', 'dnt_is_foreign': False}]",48381.0
2,2,nacp_5173f421-b89f-497f-bcc4-d5a3c00af6f0,Людмила,Махлай,Дмитрівна,244928,"[{'size': '244928', 'sizeIncome_hidden': 0, 'type': '', 'is_foreign': 0}]",0,0,0,0,0,7998.0
3,3,nacp_517e43bf-5301-4d37-99fc-eab133d8f634,Володимир,Шуть,Васильович,627928,"[{'size': 385733.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}, {'size': 6997.0, 'sizeIncome_hidden': 0, 'type': 'leasing', 'is_foreign': 0}, {'size': 2555.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}, {'size': 148842.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}, {'size': 61695.0, 'sizeIncome_hidden': 0, 'type': 'pension', 'is_foreign': 0}, {'size': 22106.0, 'sizeIncome_hidden': 0, 'type': 'pension', 'is_foreign': 0}]",705,"[{'area': 72.8, 'date': '23.04.1999', 'cost': '9700', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'apt', 'area_hidden': False}, {'area': 524.0, 'date': '01.11.2002', 'cost': '16000', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}, {'area': 23.0, 'date': '28.05.2014', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}, {'area': 86.4, 'date': '27.12.2018', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'house', 'area_hidden': False}]","[{'brand': 'VOLKSWAGEN', 'cost': 0, 'date': '09.03.2017', 'year': 2008.0, 'dnt_costDate_hidden': True, 'dnt_graduationYear_hidden': False, 'type': 'car'}]",0,0,45497.0
4,4,nacp_5334b8ef-27f1-43e5-a967-f192ded9866a,Іван,Мігуля,Іванович,0,0,0,[],0,0,0,16971.0
5,5,nacp_5335b4ff-8c03-4aa1-bfa4-cc7099e16d09,Віталій,Купрій,Миколайович,1642859,"[{'size': 289383.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}, {'size': 990000.0, 'sizeIncome_hidden': 0, 'type': 'business', 'is_foreign': 0}, {'size': 304262.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}, {'size': 59214.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}]",0,[],"[{'brand': 'CHRYSLER', 'cost': 99265.0, 'date': '07.07.2016', 'year': 2005.0, 'dnt_costDate_hidden': False, 'dnt_graduationYear_hidden': False, 'type': 'car'}, {'brand': 'Chrysler', 'cost': 200000.0, 'date': '01.01.2006', 'year': 2005.0, 'dnt_costDate_hidden': False, 'dnt_graduationYear_hidden': False, 'type': 'car'}, {'brand': 'Renault', 'cost': 100000.0, 'date': '01.06.2012', 'year': 2012.0, 'dnt_costDate_hidden': False, 'dnt_graduationYear_hidden': False, 'type': 'car'}, {'brand': 'Kawasaki', 'cost': 20000.0, 'date': '01.01.2001', 'year': 2000.0, 'dnt_costDate_hidden': False, 'dnt_graduationYear_hidden': False, 'type': 'moto'}, {'brand': 'Bavaria', 'cost': 890088.0, 'date': '07.07.2017', 'year': 2001.0, 'dnt_costDate_hidden': False, 'dnt_graduationYear_hidden': False, 'type': 'water_transport'}, {'brand': 'ПГМФ', 'cost': 20000.0, 'date': '07.03.2017', 'year': 2016.0, 'dnt_costDate_hidden': False, 'dnt_graduationYear_hidden': False, 'type': 'other'}, {'brand': 'AUDI', 'cost': 1000000.0, 'date': '06.08.2019', 'year': 2017.0, 'dnt_costDate_hidden': False, 'dnt_graduationYear_hidden': False, 'type': 'car'}]",0,"[{'assetsCurrency': 'USD', 'size': 15000.0, 'dnt_sizeAssets_hidden': False, 'type': 'cash', 'dnt_is_foreign': False}]",4971.0
6,6,nacp_4ed973d9-1689-4056-9718-afb183d36249,Лідія,Котеляк,Леонідівна,420991,"[{'size': 377620.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}, {'size': 43371.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}]",16764,"[{'area': 433.0, 'date': '19.02.2019', 'cost': '2003102', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'other', 'area_hidden': False}, {'area': 205.2, 'date': '18.06.2019', 'cost': '1988450', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'other', 'area_hidden': False}, {'area': 173.2, 'date': '24.11.2018', 'cost': '1302223', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'other', 'area_hidden': False}, {'area': 920.5, 'date': '18.06.2019', 'cost': '7955600', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'other', 'area_hidden': False}, {'area': 15033.0, 'date': '24.11.2018', 'cost': '2261000', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}]","[{'brand': 'VOLKSWAGEN', 'cost': 678883.0, 'date': '19.12.2018', 'year': 2015.0, 'dnt_costDate_hidden': False, 'dnt_graduationYear_hidden': False, 'type': 'car'}]",0,"[{'assetsCurrency': 'UAH', 'size': 1350000.0, 'dnt_sizeAssets_hidden': False, 'type': 'cash', 'dnt_is_foreign': False}]",9859.0
7,7,nacp_4d980cc4-929e-49fd-bca9-8da2e5071795,Юлія,Доценко,Юріївна,1516126,"[{'size': 617357.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}, {'size': 28877.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}, {'size': 64557.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}, {'size': 722535.0, 'sizeIncome_hidden': 0, 'type': 'contractfee', 'is_foreign': 0}, {'size': 82800.0, 'sizeIncome_hidden': 0, 'type': 'pension', 'is_foreign': 0}]",1564,"[{'area': 179.8, 'date': '16.07.2003', 'cost': '27660', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'house', 'area_hidden': False}, {'area': 385.0, 'date': '16.07.2003', 'cost': '1696', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}, {'area': 1000.0, 'date': '16.07.2003', 'cost': '205434', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}]",0,0,"[{'assetsCurrency': 'USD', 'size': 4000.0, 'dnt_sizeAssets_hidden': False, 'type': 'cash', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'UAH', 'size': 372725.0, 'dnt_sizeAssets_hidden': False, 'type': 'other', 'dnt_is_foreign': '!немає даних'}]",8558.0
8,8,nacp_4e0d4075-9f46-4ca9-9471-2bc63ad709f8,Віктор,Шапран,Валентинович,5664981,"[{'size': 3674841.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}, {'size': 827897.0, 'sizeIncome_hidden': 0, 'type': 'saleestate', 'is_foreign': 0}, {'size': 827897.0, 'sizeIncome_hidden': 0, 'type': 'saleestate', 'is_foreign': 0}, {'size': 24246.0, 'sizeIncome_hidden': 0, 'type': 'interest', 'is_foreign': 0}, {'size': 8742.0, 'sizeIncome_hidden': 0, 'type': 'interest', 'is_foreign': 0}, {'size': 273000.0, 'sizeIncome_hidden': 0, 'type': 'business', 'is_foreign': 0}, {'size': 28358.0, 'sizeIncome_hidden': 0, 'type': 'interest', 'is_foreign': 0}]",1129,"[{'area': 74.6, 'date': '04.11.2009', 'cost': '788582', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'apt', 'area_hidden': False}, {'area': 55.3, 'date': '28.07.2003', 'cost': '10', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'apt', 'area_hidden': False}, {'area': 1000.0, 'date': '31.10.2009', 'cost': '400500', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}]","[{'brand': 'Volkswagen', 'cost': 416000.0, 'date': '23.12.2015', 'year': 2014.0, 'dnt_costDate_hidden': False, 'dnt_graduationYear_hidden': False, 'type': 'car'}, {'brand': 'Mersedes-Benz', 'cost': 1715580.0, 'date': '21.09.2018', 'year': 2018.0, 'dnt_costDate_hidden': False, 'dnt_graduationYear_hidden': False, 'type': 'car'}]",0,"[{'assetsCurrency': 'UAH', 'size': 35002.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'UAH', 'size': 115015.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'USD', 'size': 189.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'UAH', 'size': 55002.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'UAH', 'size': 668414.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'UAH', 'size': 206.0, 'dnt_sizeAssets_hidden': False, 'type': 'other', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'UAH', 'size': 3270.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'USD', 'size': 5001.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'USD', 'size': 538.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'USD', 'size': 6001.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'UAH', 'size': 210000.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'UAH', 'size': 1445.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'UAH', 'size': 76.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'UAH', 'size': 1.0, 'dnt_sizeAssets_hidden': False, 'type': 'other', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'EUR', 'size': 9400.0, 'dnt_sizeAssets_hidden': False, 'type': 'cash', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'USD', 'size': 71500.0, 'dnt_sizeAssets_hidden': False, 'type': 'cash', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'UAH', 'size': 73700.0, 'dnt_sizeAssets_hidden': False, 'type': 'cash', 'dnt_is_foreign': '!немає даних'}]",8236.0
9,9,nacp_4e249dd3-f62b-412b-b145-c930be614cb0,Оксана,Мусієнко,Сергіївна,172138,"[{'size': 171936.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}, {'size': 25.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}, {'size': 177.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}]",0,0,0,0,0,53202.0
10,10,nacp_4e2ca6ab-291a-4ab0-9274-3fee8d86aa94,Євгеній,Цимбалюк,Вікторович,151236,"[{'size': '151236', 'sizeIncome_hidden': 0, 'type': '', 'is_foreign': 0}]",0,0,0,0,0,6390.0
11,11,nacp_4eda8697-bdc8-4bd1-bc7d-babbde87c30a,Наталія,Марчук,Олегівна,203727,"[{'size': '203727', 'sizeIncome_hidden': 0, 'type': '', 'is_foreign': 0}]",0,0,0,0,0,5335.0
12,12,nacp_4e79e4f8-5818-47d1-80ed-e6f18ec2e004,Олександр,Кубраков,Миколайович,1229333,"[{'size': 191733.0, 'sizeIncome_hidden': 0, 'type': 'salarysecond', 'is_foreign': 0}, {'size': 428648.0, 'sizeIncome_hidden': 0, 'type': 'business', 'is_foreign': 0}, {'size': 22360.0, 'sizeIncome_hidden': 0, 'type': 'other', 'is_foreign': 0}, {'size': 55866.0, 'sizeIncome_hidden': 0, 'type': 'dividends', 'is_foreign': 0}, {'size': 167598.0, 'sizeIncome_hidden': 0, 'type': 'dividends', 'is_foreign': 0}, {'size': 363128.0, 'sizeIncome_hidden': 0, 'type': 'dividends', 'is_foreign': 0}]",0,[],"[{'brand': 'HYUNDAI', 'cost': 91098.0, 'date': '06.06.2009', 'year': 2008.0, 'dnt_costDate_hidden': False, 'dnt_graduationYear_hidden': False, 'type': 'car'}, {'brand': 'BMW', 'cost': 1474569.0, 'date': '22.05.2018', 'year': 2017.0, 'dnt_costDate_hidden': False, 'dnt_graduationYear_hidden': False, 'type': 'car'}, {'brand': 'Mazda', 'cost': 318402.0, 'date': '27.12.2013', 'year': 2013.0, 'dnt_costDate_hidden': False, 'dnt_graduationYear_hidden': False, 'type': 'car'}]",0,"[{'assetsCurrency': 'USD', 'size': 270000.0, 'dnt_sizeAssets_hidden': False, 'type': 'cash', 'dnt_is_foreign': False}, {'assetsCurrency': 'EUR', 'size': 70000.0, 'dnt_sizeAssets_hidden': False, 'type': 'cash', 'dnt_is_foreign': False}, {'assetsCurrency': 'UAH', 'size': 720000.0, 'dnt_sizeAssets_hidden': False, 'type': 'cash', 'dnt_is_foreign': False}, {'assetsCurrency': 'UAH', 'size': 684200.0, 'dnt_sizeAssets_hidden': False, 'type': 'lend', 'dnt_is_foreign': False}]",43813.0
13,13,nacp_4e7aff95-735c-4345-b108-2945406a8495,Марат,Коваль,Петрович,161426,"[{'size': '161426', 'sizeIncome_hidden': 0, 'type': '', 'is_foreign': 0}]",0,0,0,0,0,8261.0
14,14,nacp_4eae8d40-7bd7-4e5e-96ec-1a38bf2a47dc,Герман,Анісімов,Миколайович,170914,"[{'size': '170914', 'sizeIncome_hidden': 0, 'type': '', 'is_foreign': 0}]",0,0,0,0,0,42441.0
15,15,nacp_4e7cb86e-4928-4364-9960-7392b152439d,Ігор,Добровольський,Олександрович,103299,"[{'size': 103299.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}]",19,"[{'area': 19.21, 'date': '07.09.2012', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'room', 'area_hidden': False}]",0,0,0,43431.0
16,16,nacp_4e8c88f8-bb48-4a10-ad48-28af29a21e7d,Володимир,Єльченко,Юрійович,202893,"[{'size': '202893', 'sizeIncome_hidden': 0, 'type': '', 'is_foreign': 0}]",0,0,0,0,0,6408.0
17,17,nacp_4eb8158d-3c85-49df-9948-ec9be40ea10f,Олексій,Савченко,Юрійович,2183877,"[{'size': 101296.0, 'sizeIncome_hidden': 0, 'type': 'salarymain', 'is_foreign': 0}, {'size': 1200000.0, 'sizeIncome_hidden': 0, 'type': 'salemovable', 'is_foreign': 0}, {'size': 360000.0, 'sizeIncome_hidden': 0, 'type': 'leasing', 'is_foreign': 0}, {'size': 522581.0, 'sizeIncome_hidden': 0, 'type': 'business', 'is_foreign': 0}]",55055,"[{'area': 17000.0, 'date': '02.02.2011', 'cost': '408000', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}, {'area': 20320.0, 'date': '22.10.2010', 'cost': '717300', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}, {'area': 7485.0, 'date': '24.07.2013', 'cost': '75300', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}, {'area': 9994.0, 'date': '27.04.2010', 'cost': '', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'land', 'area_hidden': False}, {'area': 44.5, 'date': '17.12.2015', 'cost': '289250', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'other', 'area_hidden': False}, {'area': 170.9, 'date': '06.04.2018', 'cost': '1110850', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'other', 'area_hidden': False}, {'area': 42.0, 'date': '18.05.2018', 'cost': '87500', 'dnt_costDate_hidden': True, 'dnt_costAssessment_hidden': True, 'type': 'apt', 'area_hidden': False}]",0,0,"[{'assetsCurrency': 'UAH', 'size': 273515204.0, 'dnt_sizeAssets_hidden': False, 'type': 'other', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'UAH', 'size': 26201953.0, 'dnt_sizeAssets_hidden': False, 'type': 'lend', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'UAH', 'size': 5000000.0, 'dnt_sizeAssets_hidden': False, 'type': 'lend', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'UAH', 'size': 1409067.0, 'dnt_sizeAssets_hidden': False, 'type': 'other', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'UAH', 'size': 689.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'USD', 'size': 50638.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'UAH', 'size': 70596.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'EUR', 'size': 69222.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'UAH', 'size': 1810.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'UAH', 'size': 3000000.0, 'dnt_sizeAssets_hidden': False, 'type': 'cash', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'USD', 'size': 4700000.0, 'dnt_sizeAssets_hidden': False, 'type': 'cash', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'EUR', 'size': 950000.0, 'dnt_sizeAssets_hidden': False, 'type': 'cash', 'dnt_is_foreign': '!немає даних'}, {'assetsCurrency': 'EUR', 'size': 3.0, 'dnt_sizeAssets_hidden': False, 'type': 'bank', 'dnt_is_foreign': '!немає даних'}]",5093.0
18,18,nacp_56afcb9d-f073-4d5b-9064-da00a33ae8df,Василь,Лемак,Васильович,162084,"[{'size': '162084', 'sizeIncome_hidden': 0, 'type': '', 'is_foreign': 0}]",0,0,0,0,0,33860.0
